Parameter,Value,Description
total_capital,15000000,"回测总资本"
start_date,2021-01-08,"回测开始日期"
end_date,2025-07-25,"回测结束日期"
# 估值区间阈值配置,"价值比(当前价/DCF估值)的区间划分"
value_ratio_extreme_undervalue,0.60,"价值比 <= 此值为极度低估"
value_ratio_obvious_undervalue,0.70,"价值比 (0.6, 0.7] 为明显低估"
value_ratio_slight_undervalue,0.80,"价值比 (0.7, 0.8] 为轻度低估"
value_ratio_fair_value,1.00,"价值比 (0.8, 1.0] 为合理区间"
value_ratio_slight_overvalue,1.20,"价值比 (1.0, 1.2] 为轻度高估, >1.2为极度高估"
# 信号生成器的价值准入阈值,""
value_ratio_buy_threshold,0.70,"【信号生成】价值比低于此值, 才可能触发买入信号 (MRD维度一)"
value_ratio_sell_threshold,0.80,"【信号生成】价值比高于此值, 才可能触发卖出信号 (MRD维度一)"
# 基于价值比的动态仓位管理配置,""
# 买入配置 - 极度低估 (≤0.60),""
extreme_undervalue_add_ratio,0.50,"【极度低估】有持仓时, 加仓比例 (占当前持仓价值)"
extreme_undervalue_new_ratio,0.15,"【极度低估】无持仓时, 开仓比例 (占总资产)"
extreme_undervalue_asset_limit,0.15,"【极度低估】单笔交易上限 (占总资产)"
# 买入配置 - 明显低估 (0.60-0.70),""
obvious_undervalue_add_ratio,0.20,"【明显低估】有持仓时, 加仓比例"
obvious_undervalue_new_ratio,0.10,"【明显低估】无持仓时, 开仓比例"
obvious_undervalue_asset_limit,0.10,"【明显低估】单笔交易上限"
# 买入配置 - 轻度低估 (0.70-0.80),""
slight_undervalue_add_ratio,0.10,"【轻度低估】有持仓时, 加仓比例"
slight_undervalue_new_ratio,0.05,"【轻度低估】无持仓时, 开仓比例"
slight_undervalue_asset_limit,0.05,"【轻度低估】单笔交易上限"
# 卖出配置,""
extreme_overvalue_sell_ratio,1.00,"【极度高估, >1.2】卖出比例 (占当前持仓)"
slight_overvalue_sell_ratio,0.80,"【轻度高估, 1.0-1.2】卖出比例"
fair_value_sell_ratio,0.50,"【合理区间, 0.8-1.0】卖出比例"
slight_undervalue_sell_ratio,0.20,"【轻度低估, 0.7-0.8】卖出比例 (止盈/风险控制)"
# 风险控制参数,""
max_single_stock_ratio,0.20,"【风控】单只股票最大持仓比例 (占总资产)"
cash_insufficient_ratio,0.80,"【风控】当现金不足以按规则加仓时, 使用此比例的现金进行加仓"