序号,日期,总资产,现金,股票市值,601088_持股,601225_持股,600985_持股,002738_持股,000933_持股,000807_持股,601898_持股,002460_持股,600079_持股,603345_持股
1,2021-01-08,15000000.0,4501609.0,10498391.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
2,2021-01-15,14181857.0,4501609.0,9680248.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
3,2021-01-22,14576441.0,4501609.0,10074832.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
4,2021-01-29,13316084.0,4501609.0,8814475.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
5,2021-02-05,12837307.0,4501609.0,8335698.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
6,2021-02-10,14066114.0,4501609.0,9564505.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
7,2021-02-19,16225196.0,4501609.0,11723587.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
8,2021-02-26,15316875.0,4501609.0,10815266.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
9,2021-03-05,15680492.0,4501609.0,11178883.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
10,2021-03-12,17219566.0,4501609.0,12717957.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
11,2021-03-19,16731161.0,4501609.0,12229552.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
12,2021-03-26,15814717.0,4501609.0,11313108.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
13,2021-04-02,16621810.0,4501609.0,12120201.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
14,2021-04-09,17407875.0,4501609.0,12906266.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
15,2021-04-16,18010496.0,4501609.0,13508887.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
16,2021-04-23,18713384.0,4501609.0,14211775.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
17,2021-04-30,18594557.0,4501609.0,14092948.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
18,2021-05-07,20604741.0,4501609.0,16103132.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
19,2021-05-14,20114592.0,4501609.0,15612983.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
20,2021-05-21,19599413.0,4501609.0,15097804.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
21,2021-05-28,20137170.0,4501609.0,15635561.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
22,2021-06-04,20185656.0,4501609.0,15684047.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
23,2021-06-11,20962661.0,4501609.0,16461052.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
24,2021-06-18,19381118.0,4501609.0,14879509.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
25,2021-06-25,20461634.0,4501609.0,15960025.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
26,2021-07-02,18814261.0,4501609.0,14312652.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
27,2021-07-09,19893478.0,4501609.0,15391869.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
28,2021-07-16,21680161.0,4501609.0,17178552.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
29,2021-07-23,21760764.0,4501609.0,17259155.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
30,2021-07-30,21009443.0,4501609.0,16507834.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
31,2021-08-06,20043900.0,4501609.0,15542291.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
32,2021-08-13,22003445.0,4501609.0,17501836.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
33,2021-08-20,21132466.0,4501609.0,16630857.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
34,2021-08-27,23833009.0,4501609.0,19331400.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
35,2021-09-03,25082402.0,4501609.0,20580793.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
36,2021-09-10,28799124.0,4501609.0,24297515.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
37,2021-09-17,28851927.0,4501609.0,24350318.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
38,2021-09-24,26929535.0,4501609.0,22427926.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
39,2021-09-30,25315497.0,4501609.0,20813888.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
40,2021-10-08,24208923.0,4501609.0,19707314.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
41,2021-10-15,24266773.0,4501609.0,19765164.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
42,2021-10-22,23448115.0,4501609.0,18946506.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
43,2021-10-29,21275504.0,4501609.0,16773895.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
44,2021-11-05,19602441.0,4501609.0,15100832.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
45,2021-11-12,19057939.0,4501609.0,14556330.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
46,2021-11-19,19738953.0,4501609.0,15237344.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
47,2021-11-26,20120963.0,4501609.0,15619354.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
48,2021-12-03,21821618.0,4501609.0,17320009.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
49,2021-12-10,21711917.0,4501609.0,17210308.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
50,2021-12-17,21848578.0,4501609.0,17346969.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
51,2021-12-24,21065000.0,4501609.0,16563391.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
52,2021-12-31,21259636.0,4501609.0,16758027.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
53,2022-01-07,21005323.0,4501609.0,16503714.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
54,2022-01-14,21348394.0,4501609.0,16846785.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
55,2022-01-21,22870743.0,4501609.0,18369134.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
56,2022-01-28,21105433.0,4501609.0,16603824.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
57,2022-02-11,25198522.0,4501609.0,20696913.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
58,2022-02-18,26459271.0,4501609.0,21957662.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
59,2022-02-25,26228864.0,4501609.0,21727255.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
60,2022-03-04,29119735.0,4501609.0,24618126.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
61,2022-03-11,27801676.0,4501609.0,23300067.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
62,2022-03-18,26834731.0,4501609.0,22333122.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
63,2022-03-25,28274923.0,4501609.0,23773314.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
64,2022-04-01,29625409.0,4501609.0,25123800.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
65,2022-04-08,29279940.0,4501609.0,24778331.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
66,2022-04-15,30962046.0,4501609.0,26460437.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
67,2022-04-22,28244189.0,4501609.0,23742580.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
68,2022-04-29,25985774.0,4501609.0,21484165.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
69,2022-05-06,25286365.0,4501609.0,20784756.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
70,2022-05-13,29169264.0,4501609.0,24667655.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
71,2022-05-20,31033788.0,4501609.0,26532179.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
72,2022-05-27,33059845.0,4501609.0,28558236.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
73,2022-06-02,31958389.0,4501609.0,27456780.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
74,2022-06-10,35936986.0,4501609.0,31435377.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
75,2022-06-17,34049738.0,4501609.0,29548129.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
76,2022-06-24,32102231.0,4501609.0,27600622.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
77,2022-07-01,35085419.0,4501609.0,30583810.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
78,2022-07-08,34963129.0,4501609.0,30461520.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
79,2022-07-15,32971794.0,4501609.0,28470185.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
80,2022-07-22,32378742.0,4501609.0,27877133.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
81,2022-07-29,32916465.0,4501609.0,28414856.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
82,2022-08-05,32401443.0,4501609.0,27899834.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
83,2022-08-12,35422984.0,4501609.0,30921375.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
84,2022-08-19,35584474.0,4501609.0,31082865.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
85,2022-08-26,38337636.0,4501609.0,33836027.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
86,2022-09-02,36939061.0,4501609.0,32437452.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
87,2022-09-09,41339224.0,4501609.0,36837615.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
88,2022-09-16,37651364.0,4501609.0,33149755.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
89,2022-09-23,38851816.0,4501609.0,34350207.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
90,2022-09-30,37731729.0,4501609.0,33230120.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
91,2022-10-14,36606877.0,4501609.0,32105268.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
92,2022-10-21,35326505.0,4501609.0,30824896.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
93,2022-10-28,34463214.0,4501609.0,29961605.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
94,2022-11-04,34604481.0,4501609.0,30102872.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
95,2022-11-11,35279986.0,4501609.0,30778377.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
96,2022-11-18,32835240.0,4501609.0,28333631.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
97,2022-11-25,34142843.0,4501609.0,29641234.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
98,2022-12-02,33795874.0,4501609.0,29294265.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
99,2022-12-09,34540670.0,4501609.0,30039061.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
100,2022-12-16,33186973.0,4501609.0,28685364.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
101,2022-12-23,31402245.0,4501609.0,26900636.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
102,2022-12-30,31277048.0,4501609.0,26775439.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
103,2023-01-06,31983382.0,4501609.0,27481773.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
104,2023-01-13,33886109.0,4501609.0,29384500.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
105,2023-01-20,35183089.0,4501609.0,30681480.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
106,2023-02-03,34908952.0,4501609.0,30407343.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
107,2023-02-10,33550487.0,4501609.0,29048878.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
108,2023-02-17,33107033.0,4501609.0,28605424.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
109,2023-02-24,34635113.0,4501609.0,30133504.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
110,2023-03-03,35013645.0,4501609.0,30512036.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
111,2023-03-10,33410585.0,4501609.0,28908976.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
112,2023-03-17,32995630.0,4501609.0,28494021.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
113,2023-03-24,33601714.0,4501609.0,29100105.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
114,2023-03-31,33679618.0,4501609.0,29178009.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
115,2023-04-07,32747108.0,4501609.0,28245499.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
116,2023-04-14,34216912.0,4501609.0,29715303.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
117,2023-04-21,34815238.0,4501609.0,30313629.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
118,2023-04-28,34152192.0,4501609.0,29650583.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
119,2023-05-05,33907392.0,4501609.0,29405783.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
120,2023-05-12,34362957.0,4501609.0,29861348.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
121,2023-05-19,34522488.0,4501609.0,30020879.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
122,2023-05-26,31907786.0,4501609.0,27406177.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
123,2023-06-02,31825266.0,4501609.0,27323657.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
124,2023-06-09,32798140.0,4501609.0,28296531.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
125,2023-06-16,32951946.0,4501609.0,28450337.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
126,2023-06-21,31611996.0,4501609.0,27110387.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
127,2023-06-30,32117813.0,4501609.0,27616204.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
128,2023-07-07,33168973.0,4501609.0,28667364.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
129,2023-07-14,33490217.0,4501609.0,28988608.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
130,2023-07-21,32419011.0,4501609.0,27917402.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
131,2023-07-28,33478777.0,4501609.0,28977168.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
132,2023-08-04,32750383.0,4501609.0,28248774.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
133,2023-08-11,32399773.0,4501609.0,27898164.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
134,2023-08-18,31797808.0,4501609.0,27296199.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
135,2023-08-25,31776283.0,4501609.0,27274674.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
136,2023-09-01,33832918.0,4501609.0,29331309.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
137,2023-09-08,34243572.0,4501609.0,29741963.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
138,2023-09-15,35058759.0,4501609.0,30557150.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
139,2023-09-22,34995550.0,4501609.0,30493941.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
140,2023-09-28,35031309.0,4501609.0,30529700.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
141,2023-10-13,34809118.0,4501609.0,30307509.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
142,2023-10-20,34097777.0,4501609.0,29596168.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
143,2023-10-27,33792245.0,4501609.0,29290636.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
144,2023-11-03,33850369.0,4501609.0,29348760.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
145,2023-11-10,34156311.0,4501609.0,29654702.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
146,2023-11-17,34314043.0,4501609.0,29812434.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
147,2023-11-24,34827153.0,4501609.0,30325544.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
148,2023-12-01,35293660.0,4501609.0,30792051.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
149,2023-12-08,34865740.0,4501609.0,30364131.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
150,2023-12-15,34642119.0,4501609.0,30140510.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
151,2023-12-22,35827801.0,4501609.0,31326192.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
152,2023-12-29,36505923.0,4501609.0,32004314.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
153,2024-01-05,38056209.0,4501609.0,33554600.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
154,2024-01-12,38576385.0,4501609.0,34074776.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
155,2024-01-19,37661503.0,4501609.0,33159894.0,208000,461500,189800,99600,311800,224200,480700,0,0,0
156,2024-01-26,40094486.3936,4057948.3936,36036538.0,208000,461500,189800,99600,311800,224200,480700,0,0,5800
157,2024-02-02,38961220.39918,2961261.3991799997,35999959.0,208000,461500,189800,114000,311800,224200,480700,11300,0,10700
158,2024-02-08,40402513.04958,2401132.0495799994,38001381.0,208000,461500,189800,123800,311800,224200,480700,19100,0,10700
159,2024-02-23,43317530.51886,2737559.5188599993,40579971.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
160,2024-03-01,42935537.51886,2737559.5188599993,40197978.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
161,2024-03-08,44306781.51886,2737559.5188599993,41569222.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
162,2024-03-15,42449866.51886,2737559.5188599993,39712307.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
163,2024-03-22,42207862.51886,2737559.5188599993,39470303.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
164,2024-03-29,42469111.51886,2737559.5188599993,39731552.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
165,2024-04-03,44900424.51886,2737559.5188599993,42162865.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
166,2024-04-12,45502167.51886,2737559.5188599993,42764608.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
167,2024-04-19,46336818.51886,2737559.5188599993,43599259.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
168,2024-04-26,43325512.51886,2737559.5188599993,40587953.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
169,2024-04-30,43606184.51886,2737559.5188599993,40868625.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
170,2024-05-10,45333284.51886,2737559.5188599993,42595725.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
171,2024-05-17,44056882.51886,2737559.5188599993,41319323.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
172,2024-05-24,44846321.51886,2737559.5188599993,42108762.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
173,2024-05-31,45834149.51886,2737559.5188599993,43096590.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
174,2024-06-07,46124204.51886,2737559.5188599993,43386645.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
175,2024-06-14,46171614.51886,2737559.5188599993,43434055.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
176,2024-06-21,45048624.51886,2737559.5188599993,42311065.0,208000,461500,170900,123800,311800,224200,480700,19100,0,10700
177,2024-06-28,44191020.40526,3564599.4052599994,40626421.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
178,2024-07-05,44642164.40526,3564599.4052599994,41077565.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
179,2024-07-12,43229345.40526,3564599.4052599994,39664746.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
180,2024-07-19,42863764.40526,3564599.4052599994,39299165.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
181,2024-07-26,40839582.40526,3564599.4052599994,37274983.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
182,2024-08-02,40162674.40526,3564599.4052599994,36598075.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
183,2024-08-09,40339647.40526,3564599.4052599994,36775048.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
184,2024-08-16,41776013.40526,3564599.4052599994,38211414.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
185,2024-08-23,40750557.40526,3564599.4052599994,37185958.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
186,2024-08-30,41913537.40526,3564599.4052599994,38348938.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
187,2024-09-06,39813404.40526,3564599.4052599994,36248805.0,187200,461500,170900,123800,311800,224200,480700,19100,0,10700
188,2024-09-13,39100429.65338,3207810.6533799996,35892619.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
189,2024-09-20,40741488.65338,3207810.6533799996,37533678.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
190,2024-09-27,46139210.65338,3207810.6533799996,42931400.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
191,2024-09-30,48899366.65338,3207810.6533799996,45691556.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
192,2024-10-11,45900489.65338,3207810.6533799996,42692679.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
193,2024-10-18,45626652.65338,3207810.6533799996,42418842.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
194,2024-10-25,45445614.65338,3207810.6533799996,42237804.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
195,2024-11-01,45363863.65338,3207810.6533799996,42156053.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
196,2024-11-08,45633543.65338,3207810.6533799996,42425733.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
197,2024-11-15,44581814.65338,3207810.6533799996,41374004.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
198,2024-11-22,43586272.65338,3207810.6533799996,40378462.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
199,2024-11-29,43456402.65338,3207810.6533799996,40248592.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
200,2024-12-06,45280052.65338,3207810.6533799996,42072242.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
201,2024-12-13,45559680.65338,3207810.6533799996,42351870.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
202,2024-12-20,43436221.65338,3207810.6533799996,40228411.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
203,2024-12-27,43028852.65338,3207810.6533799996,39821042.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
204,2025-01-03,43558475.65338,3207810.6533799996,40350665.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
205,2025-01-10,42159102.65338,3207810.6533799996,38951292.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
206,2025-01-17,43650314.65338,3207810.6533799996,40442504.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
207,2025-01-24,42794206.65338,3207810.6533799996,39586396.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
208,2025-01-27,43374422.65338,3207810.6533799996,40166612.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
209,2025-02-07,42694443.65338,3207810.6533799996,39486633.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
210,2025-02-14,41997805.65338,3207810.6533799996,38789995.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
211,2025-02-21,40094305.65338,3207810.6533799996,36886495.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
212,2025-02-28,39836062.65338,3207810.6533799996,36628252.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
213,2025-03-07,41295172.65338,3207810.6533799996,38087362.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
214,2025-03-14,42270422.65338,3207810.6533799996,39062612.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
215,2025-03-21,41117430.65338,3207810.6533799996,37909620.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
216,2025-03-28,41001346.65338,3207810.6533799996,37793536.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
217,2025-04-03,41090182.65338,3207810.6533799996,37882372.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
218,2025-04-11,38474101.65338,3207810.6533799996,35266291.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
219,2025-04-18,39704888.65338,3207810.6533799996,36497078.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
220,2025-04-25,39533061.65338,3207810.6533799996,36325251.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
221,2025-04-30,38952576.65338,3207810.6533799996,35744766.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
222,2025-05-09,39105987.65338,3207810.6533799996,35898177.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
223,2025-05-16,40199308.65338,3207810.6533799996,36991498.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
224,2025-05-23,40784445.65338,3207810.6533799996,37576635.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
225,2025-05-30,40361482.65338,3207810.6533799996,37153672.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
226,2025-06-06,40093848.65338,3207810.6533799996,36886038.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
227,2025-06-13,40145519.65338,3207810.6533799996,36937709.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
228,2025-06-20,39874713.65338,3207810.6533799996,36666903.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
229,2025-06-27,41115426.65338,3207810.6533799996,37907616.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
230,2025-07-04,41907906.65338,3207810.6533799996,38700096.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
231,2025-07-11,41564962.65338,3207810.6533799996,38357152.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
232,2025-07-18,41479585.65338,3207810.6533799996,38271775.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
233,2025-07-25,44611603.65338,3207810.6533799996,41403793.0,187200,461500,170900,123800,311800,224200,480700,19100,22300,10700
