日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2025-01-10 00:00:00,000543,皖能电力(000543),BUY,6.86,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-10 00:00:00,6.86,145700,0.01,29100,174800,0.012,10.0,0.69,满足,电力,34.58,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.155,-0.0847,-0.0703,绿色,连续缩短,无交叉,无,7.8,8.48,7.12,跌破下轨,1616998,1759104,0.92,否,买入,"[8.03, 7.99, 7.95, 7.57, 6.86]","[1859808, 1962257, 1522793, 988462, 1616998]",数据长度136条,无,000543_20250110_BUY_1736467200
2025-01-10 00:00:00,600795,国电电力(600795),BUY,4.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-10 00:00:00,4.23,236400,0.01,118200,354600,0.015,8.0,0.53,满足,电力,31.77,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2097,-0.1402,-0.0695,绿色,连续缩短,无交叉,无,4.86,5.48,4.24,跌破下轨,4342115,6134921,0.71,否,买入,"[4.67, 4.55, 4.66, 4.42, 4.23]","[4567318, 6891073, 5469752, 4171051, 4342115]",数据长度136条,无,600795_20250110_BUY_1736467200
2025-01-17 00:00:00,000543,皖能电力(000543),BUY,6.97,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-01-17 00:00:00,6.97,174800,0.0119,34900,209700,0.0143,10.0,0.7,满足,电力,36.68,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.2036,-0.1085,-0.0951,绿色,连续缩短,无交叉,无,7.72,8.41,7.03,跌破下轨,1396959,1784973,0.78,否,买入,"[7.99, 7.95, 7.57, 6.86, 6.97]","[1962257, 1522793, 988462, 1616998, 1396959]",数据长度137条,无,000543_20250117_BUY_1737072000
2025-02-07 00:00:00,600795,国电电力(600795),BUY,4.18,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-07 00:00:00,4.18,354600,0.0147,177300,531900,0.022,8.0,0.52,满足,电力,32.16,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2562,-0.2027,-0.0536,绿色,连续放大,无交叉,买入,4.69,5.41,3.96,区间内,3633004,5905347,0.62,否,无,"[4.23, 4.28, 4.18, 4.2, 4.18]","[4342115, 3461482, 5174125, 1327512, 3633004]",数据长度140条,无,600795_20250207_BUY_1738886400
2025-02-14 00:00:00,600795,国电电力(600795),BUY,4.11,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-14 00:00:00,4.11,531900,0.0218,265900,797800,0.0327,8.0,0.51,满足,电力,30.7,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2634,-0.2148,-0.0486,绿色,连续放大,无交叉,买入,4.64,5.38,3.9,区间内,5402057,5791479,0.93,是,无,"[4.28, 4.18, 4.2, 4.18, 4.11]","[3461482, 5174125, 1327512, 3633004, 5402057]",数据长度141条,无,600795_20250214_BUY_1739491200
2025-02-21 00:00:00,601088,中国神华(601088),BUY,35.38,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,35.38,127600,0.0462,12700,140300,0.0507,45.0,0.79,满足,煤炭开采,34.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6697,-0.0982,-0.5715,绿色,连续缩短,无交叉,无,40.37,43.86,36.89,跌破下轨,2593196,1486930,1.74,是,买入,"[39.08, 40.0, 38.89, 38.13, 35.38]","[1467683, 294570, 825712, 1367696, 2593196]",数据长度142条,无,601088_20250221_BUY_1740096000
2025-02-21 00:00:00,601225,陕西煤业(601225),BUY,19.53,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,19.53,225700,0.0451,112800,338500,0.0676,40.0,0.49,满足,煤炭开采,32.0,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.9826,-0.6069,-0.3757,绿色,连续缩短,无交叉,无,23.2,26.38,20.02,跌破下轨,2341010,1777713,1.32,是,买入,"[21.58, 21.75, 21.27, 21.19, 19.53]","[1644891, 215875, 1138486, 1454671, 2341010]",数据长度142条,无,601225_20250221_BUY_1740096000
2025-02-21 00:00:00,600795,国电电力(600795),BUY,4.2,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-21 00:00:00,4.2,797800,0.0343,398900,1196700,0.0514,8.0,0.53,满足,电力,34.8,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.2589,-0.2236,-0.0353,绿色,连续放大,无交叉,买入,4.57,5.23,3.92,区间内,9609872,6087016,1.58,是,无,"[4.18, 4.2, 4.18, 4.11, 4.2]","[5174125, 1327512, 3633004, 5402057, 9609872]",数据长度142条,无,600795_20250221_BUY_1740096000
2025-02-28 00:00:00,601225,陕西煤业(601225),BUY,18.95,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-28 00:00:00,18.95,338500,0.0657,169200,507700,0.0986,40.0,0.47,满足,煤炭开采,30.19,34.31,69.3,31.73,77.83,极端信号,无背离信号,买入,-1.1528,-0.7161,-0.4368,绿色,连续缩短,无交叉,无,22.88,26.39,19.36,跌破下轨,2180008,1714395,1.27,否,买入,"[21.75, 21.27, 21.19, 19.53, 18.95]","[215875, 1138486, 1454671, 2341010, 2180008]",数据长度143条,无,601225_20250228_BUY_1740700800
2025-02-28 00:00:00,600795,国电电力(600795),BUY,4.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-02-28 00:00:00,4.23,1196700,0.0519,598300,1795000,0.0778,8.0,0.53,满足,电力,36.16,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.25,-0.2289,-0.0211,绿色,连续放大,无交叉,买入,4.53,5.14,3.91,区间内,8376275,5980240,1.4,否,无,"[4.2, 4.18, 4.11, 4.2, 4.23]","[1327512, 3633004, 5402057, 9609872, 8376275]",数据长度143条,无,600795_20250228_BUY_1740700800
2025-03-07 00:00:00,600795,国电电力(600795),BUY,4.13,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-03-07 00:00:00,4.13,1795000,0.0748,897500,2692500,0.1122,8.0,0.52,满足,电力,33.65,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.2481,-0.2327,-0.0154,绿色,连续放大,无交叉,买入,4.48,5.05,3.9,区间内,6213344,5971707,1.04,否,无,"[4.18, 4.11, 4.2, 4.23, 4.13]","[3633004, 5402057, 9609872, 8376275, 6213344]",数据长度144条,无,600795_20250307_BUY_1741305600
2025-03-21 00:00:00,601898,中煤能源(601898),BUY,10.23,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-03-21 00:00:00,10.23,440500,0.045,220200,660700,0.0675,39.0,0.26,满足,煤炭开采,34.07,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6493,-0.476,-0.1733,绿色,连续放大,无交叉,买入,11.55,13.49,9.62,区间内,1912858,1413786,1.35,否,无,"[10.37, 10.12, 10.03, 10.38, 10.23]","[1346110, 1931384, 1959782, 2112313, 1912858]",数据长度146条,无,601898_20250321_BUY_1742515200
2025-03-28 00:00:00,601898,中煤能源(601898),BUY,10.12,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-03-28 00:00:00,10.12,660700,0.0665,102200,762900,0.0768,39.0,0.26,满足,煤炭开采,33.19,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6614,-0.5131,-0.1484,绿色,连续放大,无交叉,买入,11.41,13.35,9.48,区间内,2312252,1442331,1.6,否,无,"[10.12, 10.03, 10.38, 10.23, 10.12]","[1931384, 1959782, 2112313, 1912858, 2312252]",数据长度147条,无,601898_20250328_BUY_1743120000
2025-04-11 00:00:00,600985,淮北矿业(600985),BUY,12.26,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,12.26,382200,0.0488,16800,399000,0.051,25.0,0.49,满足,煤炭开采,33.81,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.5763,-0.5409,-0.0354,绿色,连续缩短,DIF死叉DEA,无,13.7,14.83,12.58,跌破下轨,1072976,951413,1.13,否,买入,"[13.91, 13.69, 13.27, 13.26, 12.26]","[991246, 689689, 1146657, 607348, 1072976]",数据长度149条,无,600985_20250411_BUY_1744329600
2025-04-11 00:00:00,601898,中煤能源(601898),BUY,9.87,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,9.87,762900,0.0784,4100,767000,0.0789,39.0,0.25,满足,煤炭开采,33.14,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6601,-0.563,-0.0972,绿色,连续放大,无交叉,买入,11.15,13.0,9.3,区间内,2208357,1431561,1.54,否,无,"[10.38, 10.23, 10.12, 10.4, 9.87]","[2112313, 1912858, 2312252, 1227785, 2208357]",数据长度149条,无,601898_20250411_BUY_1744329600
2025-04-11 00:00:00,600690,海尔智家(600690),BUY,25.07,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-11 00:00:00,25.07,175900,0.0459,300,176200,0.046,40.0,0.63,满足,白色家电,36.18,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-0.4971,-0.2845,-0.2126,绿色,连续缩短,无交叉,无,27.38,29.33,25.43,跌破下轨,3568055,2075223,1.72,是,买入,"[27.3, 27.5, 27.16, 26.2, 25.07]","[3072691, 2421120, 2563094, 1986880, 3568055]",数据长度149条,无,600690_20250411_BUY_1744329600
2025-04-18 00:00:00,600690,海尔智家(600690),BUY,24.55,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-04-18 00:00:00,24.55,176200,0.044,100,176300,0.0441,40.0,0.61,满足,白色家电,33.99,39.39,73.16,34.98,77.81,极端信号,无背离信号,买入,-0.6394,-0.3555,-0.2839,绿色,连续缩短,无交叉,无,27.19,29.44,24.94,跌破下轨,2263381,2106863,1.07,否,买入,"[27.5, 27.16, 26.2, 25.07, 24.55]","[2421120, 2563094, 1986880, 3568055, 2263381]",数据长度150条,无,600690_20250418_BUY_1744934400
2025-04-30 00:00:00,600690,海尔智家(600690),BUY,24.79,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,未执行,不足100股整数倍,,0.0,176300,0.045,0,176300,0.045,40.0,0.62,满足,白色家电,36.59,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-0.7688,-0.4943,-0.2745,绿色,连续放大,无交叉,买入,26.8,29.12,24.47,区间内,1003751,2050455,0.49,否,无,"[26.2, 25.07, 24.55, 25.02, 24.79]","[1986880, 3568055, 2263381, 1738913, 1003751]",数据长度152条,无,600690_20250430_BUY_1745971200
2025-06-20 00:00:00,600985,淮北矿业(600985),BUY,11.25,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-06-20 00:00:00,11.25,399000,0.0448,57400,456400,0.0512,25.0,0.45,满足,煤炭开采,32.55,34.31,69.3,31.73,77.83,普通信号,无背离信号,买入,-0.6677,-0.6435,-0.0243,绿色,连续缩短,DIF死叉DEA,无,12.76,14.26,11.27,跌破下轨,824703,790386,1.04,否,买入,"[12.37, 12.43, 12.76, 11.9, 11.25]","[654705, 594002, 669082, 985039, 824703]",数据长度159条,无,600985_20250620_BUY_1750377600
2025-08-15 00:00:00,600900,长江电力(600900),BUY,27.63,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-08-15 00:00:00,27.63,173100,0.0462,17300,190400,0.0508,39.0,0.71,满足,电力,36.05,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.0811,0.2531,-0.3342,绿色,连续缩短,无交叉,无,29.5,31.31,27.7,跌破下轨,5010882,4060395,1.23,否,买入,"[29.5, 28.75, 27.99, 27.86, 27.63]","[2936580, 5473385, 6101635, 4632220, 5010882]",数据长度167条,无,600900_20250815_BUY_1755216000
2025-09-05 00:00:00,002460,赣锋锂业(002460),SELL,44.61,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2025-09-05 00:00:00,44.61,150800,0.061,75400,75400,0.0305,50.0,0.89,满足,能源金属,72.14,25.33,66.06,22.83,72.56,普通信号,无背离信号,卖出,1.9689,0.8983,1.0706,红色,连续放大,无交叉,无,34.48,42.58,26.38,突破上轨,4013993,1595542,2.52,是,卖出,"[36.83, 38.76, 38.3, 39.92, 44.61]","[1653378, 3405236, 1749638, 2786334, 4013993]",数据长度170条,无,002460_20250905_SELL_1757030400
2025-09-05 00:00:00,000651,格力电器(000651),BUY,41.36,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-09-05 00:00:00,41.36,107700,0.0404,21500,129200,0.0485,60.0,0.69,满足,白色家电,36.46,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,0.0384,0.5618,-0.5234,绿色,连续缩短,无交叉,无,45.83,49.05,42.6,跌破下轨,4641196,1886860,2.46,否,买入,"[47.44, 47.79, 47.11, 42.6, 41.36]","[1289699, 1621839, 3056249, 5203873, 4641196]",数据长度170条,无,000651_20250905_BUY_1757030400
2025-09-05 00:00:00,600362,江西铜业(600362),SELL,29.39,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2025-09-05 00:00:00,29.39,48800,0.013,24400,24400,0.0065,33.0,0.89,满足,工业金属,74.42,38.45,70.61,33.57,76.29,普通信号,无背离信号,卖出,1.3597,0.7397,0.62,红色,连续放大,无交叉,无,23.35,27.6,19.1,突破上轨,4291980,1400531,3.06,是,卖出,"[23.83, 25.34, 24.72, 27.9, 29.39]","[1462843, 1912593, 1562282, 3124827, 4291980]",数据长度170条,无,600362_20250905_SELL_1757030400
2025-09-12 00:00:00,002460,赣锋锂业(002460),SELL,46.57,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2025-09-12 00:00:00,46.57,75400,0.0315,37700,37700,0.0158,50.0,0.93,满足,能源金属,74.61,25.33,66.06,22.83,72.56,极端信号,无背离信号,卖出,2.5285,1.2244,1.3041,红色,连续放大,无交叉,无,35.3,44.71,25.88,突破上轨,6157972,1858936,3.31,是,卖出,"[38.76, 38.3, 39.92, 44.61, 46.57]","[3405236, 1749638, 2786334, 4013993, 6157972]",数据长度171条,无,002460_20250912_SELL_1757635200
2025-09-30 00:00:00,600900,长江电力(600900),BUY,27.25,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-09-30 00:00:00,27.25,190400,0.0465,38000,228400,0.0558,39.0,0.7,满足,电力,36.13,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.4415,-0.2149,-0.2266,绿色,连续放大,无交叉,买入,28.9,31.4,26.41,区间内,1545859,4263744,0.36,否,无,"[28.07, 27.93, 27.2, 27.47, 27.25]","[7096858, 4244366, 4098816, 3872097, 1545859]",数据长度174条,无,600900_20250930_BUY_1759190400
2025-10-17 00:00:00,000651,格力电器(000651),BUY,40.22,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-10-17 00:00:00,40.22,129200,0.0446,25800,155000,0.0535,60.0,0.67,满足,白色家电,35.47,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-1.3146,-0.6183,-0.6962,绿色,连续放大,无交叉,买入,44.1,50.01,38.18,区间内,2411546,2085724,1.16,是,无,"[40.44, 39.85, 39.72, 40.41, 40.22]","[2548167, 2299149, 805568, 1247675, 2411546]",数据长度176条,无,000651_20251017_BUY_1760659200
2025-10-22 00:00:00,002460,赣锋锂业(002460),SELL,61.04,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2025-10-22 00:00:00,61.04,37700,0.0196,37700,0,0.0,50.0,1.22,满足,能源金属,79.04,25.33,66.06,22.83,72.56,极端信号,无背离信号,卖出,7.1945,4.7893,2.4053,红色,连续缩短,无交叉,卖出,43.77,65.42,22.12,区间内,1862260,2852445,0.65,否,无,"[54.25, 60.88, 63.93, 60.96, 61.04]","[5900180, 2313626, 2853930, 5759527, 1862260]",数据长度177条,无,002460_20251022_SELL_1761091200
2025-10-22 00:00:00,000651,格力电器(000651),BUY,40.67,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2025-10-22 00:00:00,40.67,155000,0.0536,31000,186000,0.0643,60.0,0.68,满足,白色家电,37.99,39.39,73.16,34.98,77.81,普通信号,无背离信号,买入,-1.3303,-0.7607,-0.5696,绿色,连续放大,无交叉,买入,43.89,49.97,37.8,区间内,907596,2050221,0.44,否,无,"[39.85, 39.72, 40.41, 40.22, 40.67]","[2299149, 805568, 1247675, 2411546, 907596]",数据长度177条,无,000651_20251022_BUY_1761091200
